,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_player_hier[Tim Van Rijthoven],0.149,0.125,-0.083,0.386,0.001,0.001,10502.0,6279.0,1.0
alpha_player_hier[Tomas Berdych],0.368,0.088,0.199,0.526,0.001,0.001,12617.0,6813.0,1.0
alpha_player_hier[Tommy Paul],0.333,0.093,0.161,0.506,0.001,0.001,18331.0,6964.0,1.0
alpha_player_hier[Ugo Humbert],0.182,0.113,-0.033,0.391,0.001,0.001,12764.0,6291.0,1.0
beta_pressure_hier[Adrian Mannarino],-0.532,0.108,-0.746,-0.334,0.001,0.002,14408.0,6041.0,1.0
beta_pressure_hier[Alex de Minaur],-0.526,0.105,-0.725,-0.325,0.001,0.001,14789.0,6754.0,1.0
beta_pressure_hier[Alexander Bublik],-0.523,0.108,-0.734,-0.325,0.001,0.002,14110.0,6663.0,1.0
beta_pressure_hier[Alexander Zverev],-0.518,0.107,-0.729,-0.323,0.001,0.002,12724.0,6551.0,1.0
beta_pressure_hier[Andrey Rublev],-0.52,0.109,-0.72,-0.312,0.001,0.002,13062.0,6627.0,1.0
beta_pressure_hier[Andy Murray],-0.523,0.108,-0.721,-0.31,0.001,0.001,13076.0,7103.0,1.0
beta_pressure_hier[Arthur Fils],-0.535,0.108,-0.743,-0.334,0.001,0.002,13139.0,6520.0,1.0
beta_pressure_hier[Ben Shelton],-0.527,0.107,-0.737,-0.333,0.001,0.002,13687.0,6654.0,1.0
beta_pressure_hier[Benoit Paire],-0.537,0.108,-0.736,-0.326,0.001,0.002,12789.0,6463.0,1.0
beta_pressure_hier[Bernard Tomic],-0.538,0.109,-0.74,-0.331,0.001,0.002,13165.0,6996.0,1.0
beta_pressure_hier[Botic Van De Zandschulp],-0.531,0.109,-0.731,-0.325,0.001,0.002,12487.0,6255.0,1.0
beta_pressure_hier[Brandon Nakashima],-0.536,0.109,-0.746,-0.33,0.001,0.002,14186.0,5961.0,1.0
beta_pressure_hier[Cameron Norrie],-0.531,0.106,-0.728,-0.321,0.001,0.002,13489.0,5877.0,1.0
beta_pressure_hier[Carlos Alcaraz],-0.513,0.104,-0.704,-0.312,0.001,0.001,12737.0,6597.0,1.0
beta_pressure_hier[Christopher Eubanks],-0.534,0.107,-0.741,-0.332,0.001,0.002,13485.0,6440.0,1.0
beta_pressure_hier[Cristian Garin],-0.536,0.108,-0.75,-0.337,0.001,0.001,13221.0,6137.0,1.0
beta_pressure_hier[Daniel Elahi Galan],-0.527,0.109,-0.729,-0.325,0.001,0.002,14311.0,6960.0,1.0
beta_pressure_hier[Daniil Medvedev],-0.52,0.107,-0.73,-0.318,0.001,0.002,14116.0,6226.0,1.0
beta_pressure_hier[David Goffin],-0.545,0.107,-0.744,-0.342,0.001,0.001,13836.0,6963.0,1.0
beta_pressure_hier[Denis Shapovalov],-0.547,0.109,-0.764,-0.348,0.001,0.002,12161.0,6552.0,1.0
beta_pressure_hier[Dominic Thiem],-0.513,0.111,-0.713,-0.287,0.001,0.002,13396.0,6202.0,1.0
beta_pressure_hier[Ernests Gulbis],-0.534,0.108,-0.741,-0.33,0.001,0.002,14049.0,6468.0,1.0
beta_pressure_hier[Felix Auger Aliassime],-0.512,0.109,-0.715,-0.306,0.001,0.002,13033.0,6752.0,1.0
beta_pressure_hier[Fernando Verdasco],-0.533,0.109,-0.734,-0.319,0.001,0.002,14633.0,6212.0,1.0
beta_pressure_hier[Frances Tiafoe],-0.528,0.107,-0.729,-0.326,0.001,0.002,13231.0,6468.0,1.0
beta_pressure_hier[Gael Monfils],-0.527,0.109,-0.732,-0.318,0.001,0.002,13420.0,6222.0,1.0
beta_pressure_hier[Gilles Muller],-0.534,0.107,-0.739,-0.33,0.001,0.001,12973.0,6332.0,1.0
beta_pressure_hier[Gilles Simon],-0.526,0.109,-0.733,-0.321,0.001,0.002,13165.0,6753.0,1.0
beta_pressure_hier[Giovanni Mpetshi Perricard],-0.54,0.11,-0.757,-0.345,0.001,0.002,13606.0,6536.0,1.0
beta_pressure_hier[Grigor Dimitrov],-0.538,0.107,-0.732,-0.33,0.001,0.002,14552.0,6545.0,1.0
beta_pressure_hier[Guido Pella],-0.526,0.107,-0.721,-0.32,0.001,0.001,13331.0,7153.0,1.0
beta_pressure_hier[Holger Rune],-0.531,0.105,-0.731,-0.333,0.001,0.001,13342.0,6478.0,1.0
